koi_disposition,koi_score,koi_depth,koi_model_snr,koi_period,koi_duration,koi_prad,koi_srad,koi_kepmag,koi_teq
CONFIRMED,1.0,615.8,35.8,9.48803557,2.9575,2.26,0.927,15.347,793.0
CONFIRMED,0.969,874.8,25.8,54.4183827,4.507,2.83,0.927,15.347,443.0
CANDIDATE,0.0,10829.0,76.3,19.89913995,1.7822,14.6,0.868,15.436,638.0
FALSE POSITIVE,0.0,8079.2,505.6,1.736952453,2.40641,33.46,0.791,15.597,1395.0
CONFIRMED,1.0,603.3,40.9,2.525591777,1.6545,2.75,1.046,15.509,1406.0
CONFIRMED,1.0,1517.5,66.5,11.09432054,4.5945,3.9,0.972,15.714,835.0
CONFIRMED,1.0,686.0,40.2,4.13443512,3.1402,2.77,0.972,15.714,1160.0
CONFIRMED,0.992,226.5,15.0,2.56658897,2.429,1.59,0.972,15.714,1360.0
FALSE POSITIVE,0.0,233.7,47.7,7.36178958,5.022,39.21,1.958,12.66,1342.0
CONFIRMED,1.0,4914.3,161.9,16.06864674,3.5347,5.76,0.848,15.841,600.0
CONFIRMED,0.811,14231.0,4304.3,2.470613377,1.74319,13.04,0.964,11.338,1339.0
CONFIRMED,1.0,6674.7,5945.9,2.204735417,3.88864,16.1,1.952,10.463,2048.0
CONFIRMED,0.998,9145.7,1741.5,3.522498429,3.19843,14.59,1.451,13.563,1521.0
CONFIRMED,1.0,131.1,50.6,3.709214104,2.6302,1.16,1.022,12.772,1206.0
FALSE POSITIVE,0.0,17984.0,622.1,11.521446064,3.6399,150.51,0.848,15.472,753.0
FALSE POSITIVE,0.0,8918.7,214.7,19.40393776,12.2155,7.18,0.68,15.487,523.0
FALSE POSITIVE,0.0,74284.0,2317.0,19.221388942,4.79843,49.29,0.947,15.341,698.0
FALSE POSITIVE,0.0,10479.0,303.4,16.46983774,9.4378,7.94,0.786,15.788,595.0
CONFIRMED,1.0,1288.3,87.2,9.27358173,3.2875,2.47,0.696,15.302,649.0
CONFIRMED,1.0,1912.7,65.4,6.02930329,1.5821,2.85,0.672,15.784,678.0
FALSE POSITIVE,0.0,397.9,48.2,2.696370652,3.6129,1.58,0.819,15.269,1066.0
